func	1:0	7:0	0	static void	vError
params	2:6	0:0	1	
param	2:7	2:15	2	FILE *	fd
param	2:17	2:32	2	const char *	fmt
param	2:34	2:44	2	va_list	ap
stmnts	4:1	6:19	1	
call	4:1	4:28	2	fprintf
arg	4:9	4:11	3	fd
water	4:9	0:0	4	fd
arg	4:13	4:19	3	"%s: "
water	4:13	0:0	4	"%s: "
arg	4:21	4:28	3	curfile
water	4:21	0:0	4	curfile
water	4:29	0:0	2	;
call	5:1	5:21	2	vfprintf
arg	5:10	5:12	3	fd
water	5:10	0:0	4	fd
arg	5:14	5:17	3	fmt
water	5:14	0:0	4	fmt
arg	5:19	5:21	3	ap
water	5:19	0:0	4	ap
water	5:22	0:0	2	;
call	6:1	6:18	2	fprintf
arg	6:9	6:11	3	fd
water	6:9	0:0	4	fd
arg	6:13	6:18	3	".\n"
water	6:13	0:0	4	".\n"
water	6:19	0:0	2	;
