func	1:0	48:0	0	static int	initImage
params	2:9	0:0	1	
param	2:10	2:14	2	void
stmnts	0:0	47:9	1	
decl	4:8	4:19	2	uint32	w
water	4:16	0:0	2	,
decl	4:8	4:19	2	uint32	h
if	5:8	6:59	2	(order)
cond	5:12	5:12	3	order
water	5:12	0:0	4	order
stmts	6:16	6:59	3	
call	6:16	6:58	4	TIFFSetField
arg	6:29	6:32	5	tif
water	6:29	0:0	6	tif
arg	6:34	6:51	5	TIFFTAG_FILLORDER
water	6:34	0:0	6	TIFFTAG_FILLORDER
arg	6:53	6:58	5	order
water	6:53	0:0	6	order
water	6:59	0:0	4	;
if	7:8	8:61	2	(photo != ( uint16 ) - 1)
cond	7:12	7:31	3	photo != ( uint16 ) - 1
water	7:12	0:0	4	photo
op	7:18	0:0	4	!=
water	7:21	0:0	4	(
water	7:22	0:0	4	uint16
water	7:28	0:0	4	)
op	7:30	0:0	4	-
water	7:31	0:0	4	1
stmts	8:16	8:61	3	
call	8:16	8:60	4	TIFFSetField
arg	8:29	8:32	5	tif
water	8:29	0:0	6	tif
arg	8:34	8:53	5	TIFFTAG_PHOTOMETRIC
water	8:34	0:0	6	TIFFTAG_PHOTOMETRIC
arg	8:55	8:60	5	photo
water	8:55	0:0	6	photo
water	8:61	0:0	4	;
if	9:8	14:8	2	(!TIFFRGBAImageBegin (& img ,tif ,stoponerr ,title ))
cond	9:12	9:59	3	!TIFFRGBAImageBegin (& img ,tif ,stoponerr ,title )
op	9:12	0:0	4	!
call	9:13	9:59	4	TIFFRGBAImageBegin
arg	9:32	9:36	5	&img
op	9:32	0:0	6	&
water	9:33	0:0	6	img
arg	9:38	9:41	5	tif
water	9:38	0:0	6	tif
arg	9:43	9:52	5	stoponerr
water	9:43	0:0	6	stoponerr
arg	9:54	9:59	5	title
water	9:54	0:0	6	title
stmts	9:62	14:8	3	
water	9:62	0:0	4	{
call	10:16	10:58	4	TIFFError
arg	10:26	10:45	5	filelist[fileindex]
water	10:26	0:0	6	filelist
op	10:34	0:0	6	[
water	10:35	0:0	6	fileindex
op	10:44	0:0	6	]
arg	10:47	10:51	5	"%s"
water	10:47	0:0	6	"%s"
arg	10:53	10:58	5	title
water	10:53	0:0	6	title
water	10:59	0:0	4	;
call	11:16	11:29	4	TIFFClose
arg	11:26	11:29	5	tif
water	11:26	0:0	6	tif
water	11:30	0:0	4	;
water	12:16	0:0	4	tif
op	12:20	0:0	4	=
water	12:22	0:0	4	NULL
water	12:26	0:0	4	;
return	13:16	13:25	4	-1
op	13:23	0:0	5	-
water	13:24	0:0	5	1
water	14:8	0:0	4	}
water	18:8	0:0	2	h
op	18:10	0:0	2	=
water	18:12	0:0	2	img
op	18:15	0:0	2	.
water	18:16	0:0	2	height
water	18:22	0:0	2	;
water	19:8	0:0	2	w
op	19:10	0:0	2	=
water	19:12	0:0	2	img
op	19:15	0:0	2	.
water	19:16	0:0	2	width
water	19:21	0:0	2	;
if	20:8	23:8	2	(h > ymax)
cond	20:12	20:16	3	h > ymax
water	20:12	0:0	4	h
op	20:14	0:0	4	>
water	20:16	0:0	4	ymax
stmts	20:22	23:8	3	
water	20:22	0:0	4	{
water	21:16	0:0	4	w
op	21:18	0:0	4	=
call	21:20	21:47	4	(int)
arg	21:26	21:47	5	w*((float)ymax/h)
water	21:26	0:0	6	w
op	21:28	0:0	6	*
water	21:30	0:0	6	(
water	21:31	0:0	6	(
water	21:32	0:0	6	float
water	21:37	0:0	6	)
water	21:38	0:0	6	ymax
op	21:43	0:0	6	/
water	21:45	0:0	6	h
water	21:46	0:0	6	)
water	21:48	0:0	4	;
water	22:16	0:0	4	h
op	22:18	0:0	4	=
water	22:20	0:0	4	ymax
water	22:24	0:0	4	;
water	23:8	0:0	4	}
if	24:8	27:8	2	(w > xmax)
cond	24:12	24:16	3	w > xmax
water	24:12	0:0	4	w
op	24:14	0:0	4	>
water	24:16	0:0	4	xmax
stmts	24:22	27:8	3	
water	24:22	0:0	4	{
water	25:16	0:0	4	h
op	25:18	0:0	4	=
call	25:20	25:47	4	(int)
arg	25:26	25:47	5	h*((float)xmax/w)
water	25:26	0:0	6	h
op	25:28	0:0	6	*
water	25:30	0:0	6	(
water	25:31	0:0	6	(
water	25:32	0:0	6	float
water	25:37	0:0	6	)
water	25:38	0:0	6	xmax
op	25:43	0:0	6	/
water	25:45	0:0	6	w
water	25:46	0:0	6	)
water	25:48	0:0	4	;
water	26:16	0:0	4	w
op	26:18	0:0	4	=
water	26:20	0:0	4	xmax
water	26:24	0:0	4	;
water	27:8	0:0	4	}
if	28:1	42:1	2	(w != width || h != height)
cond	28:5	28:24	3	w != width || h != height
water	28:5	0:0	4	w
op	28:7	0:0	4	!=
water	28:10	0:0	4	width
op	28:16	0:0	4	||
water	28:19	0:0	4	h
op	28:21	0:0	4	!=
water	28:24	0:0	4	height
stmts	28:32	42:1	3	
water	28:32	0:0	4	{
decl	29:2	30:74	4	uint32	rastersize
op	29:20	0:0	4	=
call	30:3	30:73	5	_TIFFMultiply32
arg	30:19	30:22	6	tif
water	30:19	0:0	7	tif
arg	30:24	30:33	6	img.width
water	30:24	0:0	7	img
op	30:27	0:0	7	.
water	30:28	0:0	7	width
arg	30:35	30:45	6	img.height
water	30:35	0:0	7	img
op	30:38	0:0	7	.
water	30:39	0:0	7	height
arg	30:47	30:73	6	"allocating raster buffer"
water	30:47	0:0	7	"allocating raster buffer"
if	31:2	32:35	4	(raster != NULL)
cond	31:6	31:16	5	raster != NULL
water	31:6	0:0	6	raster
op	31:13	0:0	6	!=
water	31:16	0:0	6	NULL
stmts	32:3	32:35	5	
call	32:3	32:19	6	_TIFFfree
arg	32:13	32:19	7	raster
water	32:13	0:0	8	raster
water	32:20	0:0	6	,
water	32:22	0:0	6	raster
op	32:29	0:0	6	=
water	32:31	0:0	6	NULL
water	32:35	0:0	6	;
water	33:2	0:0	4	raster
op	33:9	0:0	4	=
water	33:11	0:0	4	(
water	33:12	0:0	4	uint32
op	33:18	0:0	4	*
water	33:19	0:0	4	)
call	33:21	34:36	4	_TIFFCheckMalloc
arg	33:38	33:41	5	tif
water	33:38	0:0	6	tif
arg	33:43	33:53	5	rastersize
water	33:43	0:0	6	rastersize
arg	33:55	33:70	5	sizeof(uint32)
op	33:55	0:0	6	sizeof
water	33:62	0:0	6	(
water	33:63	0:0	6	uint32
water	33:69	0:0	6	)
arg	34:10	34:36	5	"allocating raster buffer"
water	34:10	0:0	6	"allocating raster buffer"
water	34:37	0:0	4	;
if	35:2	39:2	4	(raster == NULL)
cond	35:6	35:16	5	raster == NULL
water	35:6	0:0	6	raster
op	35:13	0:0	6	==
water	35:16	0:0	6	NULL
stmts	35:22	39:2	5	
water	35:22	0:0	6	{
water	36:3	0:0	6	width
op	36:9	0:0	6	=
water	36:11	0:0	6	height
op	36:18	0:0	6	=
water	36:20	0:0	6	0
water	36:21	0:0	6	;
call	37:3	37:62	6	TIFFError
arg	37:13	37:32	7	filelist[fileindex]
water	37:13	0:0	8	filelist
op	37:21	0:0	8	[
water	37:22	0:0	8	fileindex
op	37:31	0:0	8	]
arg	37:34	37:62	7	"No space for raster buffer"
water	37:34	0:0	8	"No space for raster buffer"
water	37:63	0:0	6	;
call	38:3	38:20	6	cleanup_and_exit
water	38:21	0:0	6	;
water	39:2	0:0	6	}
water	40:2	0:0	4	width
op	40:8	0:0	4	=
water	40:10	0:0	4	w
water	40:11	0:0	4	;
water	41:2	0:0	4	height
op	41:9	0:0	4	=
water	41:11	0:0	4	h
water	41:12	0:0	4	;
water	42:1	0:0	4	}
call	43:1	43:53	2	TIFFRGBAImageGet
arg	43:18	43:22	3	&img
op	43:18	0:0	4	&
water	43:19	0:0	4	img
arg	43:24	43:30	3	raster
water	43:24	0:0	4	raster
arg	43:32	43:41	3	img.width
water	43:32	0:0	4	img
op	43:35	0:0	4	.
water	43:36	0:0	4	width
arg	43:43	43:53	3	img.height
water	43:43	0:0	4	img
op	43:46	0:0	4	.
water	43:47	0:0	4	height
water	43:54	0:0	2	;
call	45:1	45:48	2	TIFFSwabArrayOfLong
arg	45:21	45:27	3	raster
water	45:21	0:0	4	raster
arg	45:28	45:48	3	img.width*img.height
water	45:28	0:0	4	img
op	45:31	0:0	4	.
water	45:32	0:0	4	width
op	45:37	0:0	4	*
water	45:38	0:0	4	img
op	45:41	0:0	4	.
water	45:42	0:0	4	height
water	45:49	0:0	2	;
return	47:1	47:9	2	0
water	47:8	0:0	3	0
