func	1:0	14:0	0	static int	prevImage
params	2:9	0:0	1	
param	2:10	2:14	2	void
stmnts	4:8	13:24	1	
if	4:8	5:27	2	(fileindex > 0)
cond	4:12	4:24	3	fileindex > 0
water	4:12	0:0	4	fileindex
op	4:22	0:0	4	>
water	4:24	0:0	4	0
stmts	5:16	5:27	3	
water	5:16	0:0	4	fileindex
op	5:25	0:0	4	--
water	5:27	0:0	4	;
else	6:8	7:32	2
stmts	6:13	7:32	3	
if	6:13	7:32	4	(tif)
cond	6:17	6:17	5	tif
water	6:17	0:0	6	tif
stmts	7:16	7:32	5	
return	7:16	7:32	6	fileindex
water	7:23	0:0	7	fileindex
if	8:8	9:30	2	(tif)
cond	8:12	8:12	3	tif
water	8:12	0:0	4	tif
stmts	9:16	9:30	3	
call	9:16	9:29	4	TIFFClose
arg	9:26	9:29	5	tif
water	9:26	0:0	6	tif
water	9:30	0:0	4	;
water	10:8	0:0	2	tif
op	10:12	0:0	2	=
call	10:14	10:47	2	TIFFOpen
arg	10:23	10:42	3	filelist[fileindex]
water	10:23	0:0	4	filelist
op	10:31	0:0	4	[
water	10:32	0:0	4	fileindex
op	10:41	0:0	4	]
arg	10:44	10:47	3	"r"
water	10:44	0:0	4	"r"
water	10:48	0:0	2	;
if	11:8	12:25	2	(tif == NULL)
cond	11:12	11:19	3	tif == NULL
water	11:12	0:0	4	tif
op	11:16	0:0	4	==
water	11:19	0:0	4	NULL
stmts	12:16	12:25	3	
return	12:16	12:25	4	-1
op	12:23	0:0	5	-
water	12:24	0:0	5	1
return	13:8	13:24	2	fileindex
water	13:15	0:0	3	fileindex
