func	1:0	98:0	0	void	GetTIFFHeader
stmnts	4:4	97:4	1	
water	4:4	0:0	2	register
water	4:13	0:0	2	int
water	4:17	0:0	2	i
water	4:18	0:0	2	;
if	5:4	9:4	2	(!TIFFSetDirectory (tfFile ,tfDirectory ))
cond	5:8	5:45	3	!TIFFSetDirectory (tfFile ,tfDirectory )
op	5:8	0:0	4	!
call	5:9	5:45	4	TIFFSetDirectory
arg	5:26	5:32	5	tfFile
water	5:26	0:0	6	tfFile
arg	5:34	5:45	5	tfDirectory
water	5:34	0:0	6	tfDirectory
stmts	5:48	9:4	3	
water	5:48	0:0	4	{
call	6:8	7:33	4	fprintf
arg	6:16	6:22	5	stderr
water	6:16	0:0	6	stderr
arg	6:24	6:67	5	"xtiff: can't seek to directory %d in %s\n"
water	6:24	0:0	6	"xtiff: can't seek to directory %d in %s\n"
arg	7:12	7:23	5	tfDirectory
water	7:12	0:0	6	tfDirectory
arg	7:25	7:33	5	fileName
water	7:25	0:0	6	fileName
water	7:34	0:0	4	;
call	8:8	8:14	4	exit
arg	8:13	8:14	5	0
water	8:13	0:0	6	0
water	8:15	0:0	4	;
water	9:4	0:0	4	}
call	10:4	10:58	2	TIFFGetField
arg	10:17	10:23	3	tfFile
water	10:17	0:0	4	tfFile
arg	10:25	10:43	3	TIFFTAG_IMAGEWIDTH
water	10:25	0:0	4	TIFFTAG_IMAGEWIDTH
arg	10:45	10:58	3	&tfImageWidth
op	10:45	0:0	4	&
water	10:46	0:0	4	tfImageWidth
water	10:59	0:0	2	;
call	11:4	11:60	2	TIFFGetField
arg	11:17	11:23	3	tfFile
water	11:17	0:0	4	tfFile
arg	11:25	11:44	3	TIFFTAG_IMAGELENGTH
water	11:25	0:0	4	TIFFTAG_IMAGELENGTH
arg	11:46	11:60	3	&tfImageHeight
op	11:46	0:0	4	&
water	11:47	0:0	4	tfImageHeight
water	11:61	0:0	2	;
call	15:4	15:73	2	TIFFGetFieldDefaulted
arg	15:26	15:32	3	tfFile
water	15:26	0:0	4	tfFile
arg	15:34	15:55	3	TIFFTAG_BITSPERSAMPLE
water	15:34	0:0	4	TIFFTAG_BITSPERSAMPLE
