func	1:0	19:0	0	void	SimpleGammaCorrection
stmnts	4:4	18:41	1	
water	4:4	0:0	2	register
water	4:13	0:0	2	int
water	4:17	0:0	2	i
water	4:18	0:0	2	;
water	5:4	0:0	2	register
water	5:13	0:0	2	double
water	5:20	0:0	2	i_gamma
op	5:28	0:0	2	=
water	5:30	0:0	2	1
op	5:31	0:0	2	.
water	5:32	0:0	2	0
op	5:34	0:0	2	/
water	5:36	0:0	2	appData
op	5:43	0:0	2	.
water	5:44	0:0	2	gamma
water	5:49	0:0	2	;
for	6:4	17:4	2	(i = 0 ;i < colormapSize;i ++)
forinit	6:9	6:14	3	i = 0 ;
water	6:9	0:0	4	i
op	6:11	0:0	4	=
water	6:13	0:0	4	0
water	6:14	0:0	4	;
cond	6:16	6:20	3	i < colormapSize
water	6:16	0:0	4	i
op	6:18	0:0	4	<
water	6:20	0:0	4	colormapSize
forexpr	6:34	6:35	3	i ++
water	6:34	0:0	4	i
op	6:35	0:0	4	++
stmts	6:39	17:4	3	
water	6:39	0:0	4	{
if	7:8	11:52	4	(( ( tfPhotometricInterpretation == PHOTOMETRIC_MINISWHITE ) && ( i == colormapSize - 1 ) ) || ( ( tfPhotometricInterpretation == PHOTOMETRIC_MINISBLACK ) && ( i == 0 ) ))
cond	7:12	10:23	5	( ( tfPhotometricInterpretation == PHOTOMETRIC_MINISWHITE ) && ( i == colormapSize - 1 ) ) || ( ( tfPhotometricInterpretation == PHOTOMETRIC_MINISBLACK ) && ( i == 0 ) )
water	7:12	0:0	6	(
water	7:13	0:0	6	(
water	7:14	0:0	6	tfPhotometricInterpretation
op	7:42	0:0	6	==
water	7:45	0:0	6	PHOTOMETRIC_MINISWHITE
water	7:67	0:0	6	)
op	8:12	0:0	6	&&
water	8:15	0:0	6	(
water	8:16	0:0	6	i
op	8:18	0:0	6	==
water	8:21	0:0	6	colormapSize
op	8:34	0:0	6	-
water	8:36	0:0	6	1
water	8:37	0:0	6	)
water	8:38	0:0	6	)
op	9:12	0:0	6	||
water	9:15	0:0	6	(
water	9:16	0:0	6	(
water	9:17	0:0	6	tfPhotometricInterpretation
op	9:45	0:0	6	==
