func	1:0	6:0	0	int	_TIFFNoTileEncode
params	2:17	0:0	1	
param	2:18	2:27	2	TIFF *	tif
param	2:29	2:40	2	tidata_t	pp
param	2:42	2:52	2	tsize_t	cc
param	2:54	2:65	2	tsample_t	s
stmnts	4:1	5:35	1	
water	4:1	0:0	2	(
water	4:2	0:0	2	void
water	4:6	0:0	2	)
water	4:8	0:0	2	pp
water	4:10	0:0	2	;
water	4:12	0:0	2	(
water	4:13	0:0	2	void
water	4:17	0:0	2	)
water	4:19	0:0	2	cc
water	4:21	0:0	2	;
water	4:23	0:0	2	(
water	4:24	0:0	2	void
water	4:28	0:0	2	)
water	4:30	0:0	2	s
water	4:31	0:0	2	;
return	5:1	5:35	2	(TIFFNoEncode(tif,"tile"))
water	5:8	0:0	3	(
call	5:9	5:33	3	TIFFNoEncode
arg	5:22	5:25	4	tif
water	5:22	0:0	5	tif
arg	5:27	5:33	4	"tile"
water	5:27	0:0	5	"tile"
water	5:34	0:0	3	)
