func	2:0	3:66	0	void	_TIFFsetLongArray
params	2:22	0:0	1	
param	2:23	2:35	2	uint32 * *	lpp
param	2:37	2:47	2	uint32 *	lp
param	2:49	2:57	2	uint32	n
stmnts	3:6	3:64	1	
call	3:6	3:63	2	setByteArray
arg	3:19	3:31	3	(void**)lpp
water	3:19	0:0	4	(
water	3:20	0:0	4	void
op	3:24	0:0	4	*
op	3:25	0:0	4	*
water	3:26	0:0	4	)
water	3:28	0:0	4	lpp
arg	3:33	3:43	3	(void*)lp
water	3:33	0:0	4	(
water	3:34	0:0	4	void
op	3:38	0:0	4	*
water	3:39	0:0	4	)
water	3:41	0:0	4	lp
arg	3:45	3:46	3	n
water	3:45	0:0	4	n
arg	3:48	3:63	3	sizeof(uint32)
op	3:48	0:0	4	sizeof
water	3:55	0:0	4	(
water	3:56	0:0	4	uint32
water	3:62	0:0	4	)
water	3:64	0:0	2	;
