func	1:0	107:0	0	void	GetVisual
stmnts	0:0	106:63	1	
decl	4:4	4:25	2	XColor	*colors
op	4:19	0:0	2	=
water	4:21	0:0	2	NULL
decl	5:4	5:32	2	unsigned long	*pixels
op	5:26	0:0	2	=
water	5:28	0:0	2	NULL
decl	6:4	6:19	2	unsigned long	i
switch	7:4	92:4	2	(tfImageDepth)
cond	7:12	7:12	3	tfImageDepth
water	7:12	0:0	4	tfImageDepth
stmts	7:26	92:4	3	
water	7:26	0:0	4	{
label	12:4	12:11	4	case 32 :
label	13:4	13:11	4	case 24 :
if	14:8	17:8	4	(SearchVisualList (24 ,DirectColor ,& xVisual ) == False)
cond	14:12	14:59	5	SearchVisualList (24 ,DirectColor ,& xVisual ) == False
call	14:12	14:54	6	SearchVisualList
arg	14:29	14:31	7	24
water	14:29	0:0	8	24
arg	14:33	14:44	7	DirectColor
water	14:33	0:0	8	DirectColor
arg	14:46	14:54	7	&xVisual
op	14:46	0:0	8	&
water	14:47	0:0	8	xVisual
op	14:56	0:0	6	==
water	14:59	0:0	6	False
stmts	14:66	17:8	5	
water	14:66	0:0	6	{
call	15:12	15:78	6	fprintf
arg	15:20	15:26	7	stderr
water	15:20	0:0	8	stderr
arg	15:28	15:78	7	"xtiff: 24-bit DirectColor visual not available\n"
water	15:28	0:0	8	"xtiff: 24-bit DirectColor visual not available\n"
water	15:79	0:0	6	;
call	16:12	16:18	6	exit
arg	16:17	16:18	7	0
water	16:17	0:0	8	0
water	16:19	0:0	6	;
water	17:8	0:0	6	}
water	18:8	0:0	4	colors
op	18:15	0:0	4	=
water	18:17	0:0	4	(
water	18:18	0:0	4	XColor
op	18:25	0:0	4	*
water	18:26	0:0	4	)
call	18:28	18:68	4	malloc
arg	18:35	18:68	5	3*colormapSize*sizeof(XColor)
water	18:35	0:0	6	3
op	18:37	0:0	6	*
water	18:39	0:0	6	colormapSize
op	18:52	0:0	6	*
op	18:54	0:0	6	sizeof
water	18:60	0:0	6	(
water	18:61	0:0	6	XColor
water	18:67	0:0	6	)
water	18:69	0:0	4	;
call	19:8	19:21	4	MCHECK
arg	19:15	19:21	5	colors
water	19:15	0:0	6	colors
water	19:22	0:0	4	;
for	20:8	26:8	4	(i = 0 ;i < colormapSize;i ++)
forinit	20:13	20:18	5	i = 0 ;
water	20:13	0:0	6	i
op	20:15	0:0	6	=
water	20:17	0:0	6	0
water	20:18	0:0	6	;
cond	20:20	20:24	5	i < colormapSize
water	20:20	0:0	6	i
op	20:22	0:0	6	<
water	20:24	0:0	6	colormapSize
forexpr	20:38	20:39	5	i ++
water	20:38	0:0	6	i
op	20:39	0:0	6	++
stmts	20:43	26:8	5	
water	20:43	0:0	6	{
water	21:12	0:0	6	colors
op	21:18	0:0	6	[
water	21:19	0:0	6	i
op	21:20	0:0	6	]
op	21:21	0:0	6	.
water	21:22	0:0	6	pixel
op	21:28	0:0	6	=
water	21:30	0:0	6	(
water	21:31	0:0	6	i
op	21:33	0:0	6	<<
water	21:36	0:0	6	16
water	21:38	0:0	6	)
op	21:40	0:0	6	+
water	21:42	0:0	6	(
water	21:43	0:0	6	i
op	21:45	0:0	6	<<
water	21:48	0:0	6	8
water	21:49	0:0	6	)
op	21:51	0:0	6	+
water	21:53	0:0	6	i
water	21:54	0:0	6	;
water	22:12	0:0	6	colors
op	22:18	0:0	6	[
water	22:19	0:0	6	i
op	22:20	0:0	6	]
op	22:21	0:0	6	.
water	22:22	0:0	6	red
op	22:26	0:0	6	=
water	22:28	0:0	6	redMap
op	22:34	0:0	6	[
water	22:35	0:0	6	i
op	22:36	0:0	6	]
water	22:37	0:0	6	;
water	23:12	0:0	6	colors
op	23:18	0:0	6	[
water	23:19	0:0	6	i
op	23:20	0:0	6	]
op	23:21	0:0	6	.
water	23:22	0:0	6	green
op	23:28	0:0	6	=
water	23:30	0:0	6	greenMap
op	23:38	0:0	6	[
water	23:39	0:0	6	i
op	23:40	0:0	6	]
water	23:41	0:0	6	;
water	24:12	0:0	6	colors
op	24:18	0:0	6	[
water	24:19	0:0	6	i
op	24:20	0:0	6	]
op	24:21	0:0	6	.
water	24:22	0:0	6	blue
op	24:27	0:0	6	=
water	24:29	0:0	6	blueMap
op	24:36	0:0	6	[
water	24:37	0:0	6	i
op	24:38	0:0	6	]
water	24:39	0:0	6	;
water	25:12	0:0	6	colors
op	25:18	0:0	6	[
water	25:19	0:0	6	i
op	25:20	0:0	6	]
op	25:21	0:0	6	.
water	25:22	0:0	6	flags
op	25:28	0:0	6	=
water	25:30	0:0	6	DoRed
op	25:36	0:0	6	|
water	25:38	0:0	6	DoGreen
op	25:46	0:0	6	|
water	25:48	0:0	6	DoBlue
water	25:54	0:0	6	;
water	26:8	0:0	6	}
water	27:8	0:0	4	xColormap
op	27:18	0:0	4	=
call	27:20	28:29	4	XCreateColormap
arg	27:36	27:44	5	xDisplay
water	27:36	0:0	6	xDisplay
arg	27:46	27:75	5	RootWindow(xDisplay,xScreen)
call	27:46	27:74	6	RootWindow
arg	27:57	27:65	7	xDisplay
water	27:57	0:0	8	xDisplay
arg	27:67	27:74	7	xScreen
water	27:67	0:0	8	xScreen
arg	28:12	28:19	5	xVisual
water	28:12	0:0	6	xVisual
arg	28:21	28:29	5	AllocAll
water	28:21	0:0	6	AllocAll
water	28:30	0:0	4	;
call	29:8	29:62	4	XStoreColors
arg	29:21	29:29	5	xDisplay
water	29:21	0:0	6	xDisplay
arg	29:31	29:40	5	xColormap
water	29:31	0:0	6	xColormap
arg	29:42	29:48	5	colors
water	29:42	0:0	6	colors
arg	29:50	29:62	5	colormapSize
water	29:50	0:0	6	colormapSize
water	29:63	0:0	4	;
break	30:8	30:13	4	
label	31:4	31:10	4	case 8 :
label	32:4	32:10	4	case 4 :
label	33:4	33:10	4	case 2 :
switch	38:8	49:8	4	(tfPhotometricInterpretation)
cond	38:16	38:16	5	tfPhotometricInterpretation
water	38:16	0:0	6	tfPhotometricInterpretation
stmts	38:45	49:8	5	
water	38:45	0:0	6	{
label	39:8	39:35	6	case PHOTOMETRIC_MINISWHITE :
label	40:8	40:35	6	case PHOTOMETRIC_MINISBLACK :
if	41:12	42:21	6	(SearchVisualList (( int ) tfImageDepth ,GrayScale ,& xVisual ) == True)
cond	41:16	41:77	7	SearchVisualList (( int ) tfImageDepth ,GrayScale ,& xVisual ) == True
call	41:16	41:72	8	SearchVisualList
arg	41:33	41:51	9	(int)tfImageDepth
water	41:33	0:0	10	(
water	41:34	0:0	10	int
water	41:37	0:0	10	)
water	41:39	0:0	10	tfImageDepth
arg	41:53	41:62	9	GrayScale
water	41:53	0:0	10	GrayScale
arg	41:64	41:72	9	&xVisual
op	41:64	0:0	10	&
water	41:65	0:0	10	xVisual
op	41:74	0:0	8	==
water	41:77	0:0	8	True
stmts	42:16	42:21	7	
break	42:16	42:21	8	
label	43:8	43:32	6	case PHOTOMETRIC_PALETTE :
if	44:12	45:21	6	(SearchVisualList (( int ) tfImageDepth ,PseudoColor ,& xVisual ) == True)
cond	44:16	44:79	7	SearchVisualList (( int ) tfImageDepth ,PseudoColor ,& xVisual ) == True
call	44:16	44:74	8	SearchVisualList
arg	44:33	44:51	9	(int)tfImageDepth
water	44:33	0:0	10	(
water	44:34	0:0	10	int
water	44:37	0:0	10	)
water	44:39	0:0	10	tfImageDepth
arg	44:53	44:64	9	PseudoColor
water	44:53	0:0	10	PseudoColor
arg	44:66	44:74	9	&xVisual
op	44:66	0:0	10	&
water	44:67	0:0	10	xVisual
op	44:76	0:0	8	==
water	44:79	0:0	8	True
stmts	45:16	45:21	7	
break	45:16	45:21	8	
label	46:8	46:15	6	default :
call	47:12	47:71	6	fprintf
arg	47:20	47:26	7	stderr
water	47:20	0:0	8	stderr
arg	47:28	47:71	7	"xtiff: Unsupported TIFF/X configuration\n"
water	47:28	0:0	8	"xtiff: Unsupported TIFF/X configuration\n"
water	47:72	0:0	6	;
call	48:12	48:18	6	exit
arg	48:17	48:18	7	0
water	48:17	0:0	8	0
water	48:19	0:0	6	;
water	49:8	0:0	6	}
water	50:8	0:0	4	colors
op	50:15	0:0	4	=
water	50:17	0:0	4	(
water	50:18	0:0	4	XColor
op	50:25	0:0	4	*
water	50:26	0:0	4	)
call	50:28	50:64	4	malloc
arg	50:35	50:64	5	colormapSize*sizeof(XColor)
water	50:35	0:0	6	colormapSize
op	50:48	0:0	6	*
op	50:50	0:0	6	sizeof
water	50:56	0:0	6	(
water	50:57	0:0	6	XColor
water	50:63	0:0	6	)
water	50:65	0:0	4	;
call	51:8	51:21	4	MCHECK
arg	51:15	51:21	5	colors
water	51:15	0:0	6	colors
water	51:22	0:0	4	;
for	52:8	58:8	4	(i = 0 ;i < colormapSize;i ++)
forinit	52:13	52:18	5	i = 0 ;
water	52:13	0:0	6	i
op	52:15	0:0	6	=
water	52:17	0:0	6	0
water	52:18	0:0	6	;
cond	52:20	52:24	5	i < colormapSize
water	52:20	0:0	6	i
op	52:22	0:0	6	<
water	52:24	0:0	6	colormapSize
forexpr	52:38	52:39	5	i ++
water	52:38	0:0	6	i
op	52:39	0:0	6	++
stmts	52:43	58:8	5	
water	52:43	0:0	6	{
water	53:12	0:0	6	colors
op	53:18	0:0	6	[
water	53:19	0:0	6	i
op	53:20	0:0	6	]
op	53:21	0:0	6	.
water	53:22	0:0	6	pixel
op	53:28	0:0	6	=
water	53:30	0:0	6	i
water	53:31	0:0	6	;
water	54:12	0:0	6	colors
op	54:18	0:0	6	[
water	54:19	0:0	6	i
op	54:20	0:0	6	]
op	54:21	0:0	6	.
water	54:22	0:0	6	red
op	54:26	0:0	6	=
water	54:28	0:0	6	redMap
op	54:34	0:0	6	[
water	54:35	0:0	6	i
op	54:36	0:0	6	]
water	54:37	0:0	6	;
water	55:12	0:0	6	colors
op	55:18	0:0	6	[
water	55:19	0:0	6	i
op	55:20	0:0	6	]
op	55:21	0:0	6	.
water	55:22	0:0	6	green
op	55:28	0:0	6	=
water	55:30	0:0	6	greenMap
op	55:38	0:0	6	[
water	55:39	0:0	6	i
op	55:40	0:0	6	]
water	55:41	0:0	6	;
water	56:12	0:0	6	colors
op	56:18	0:0	6	[
water	56:19	0:0	6	i
op	56:20	0:0	6	]
op	56:21	0:0	6	.
water	56:22	0:0	6	blue
op	56:27	0:0	6	=
water	56:29	0:0	6	blueMap
op	56:36	0:0	6	[
water	56:37	0:0	6	i
op	56:38	0:0	6	]
water	56:39	0:0	6	;
water	57:12	0:0	6	colors
op	57:18	0:0	6	[
water	57:19	0:0	6	i
op	57:20	0:0	6	]
op	57:21	0:0	6	.
water	57:22	0:0	6	flags
op	57:28	0:0	6	=
water	57:30	0:0	6	DoRed
op	57:36	0:0	6	|
water	57:38	0:0	6	DoGreen
op	57:46	0:0	6	|
water	57:48	0:0	6	DoBlue
water	57:54	0:0	6	;
water	58:8	0:0	6	}
if	68:8	70:34	4	(tfImageDepth == 8)
cond	68:12	68:28	5	tfImageDepth == 8
water	68:12	0:0	6	tfImageDepth
op	68:25	0:0	6	==
water	68:28	0:0	6	8
stmts	69:12	70:34	5	
water	69:12	0:0	6	xColormap
op	69:22	0:0	6	=
call	69:24	70:33	6	XCreateColormap
arg	69:40	69:48	7	xDisplay
water	69:40	0:0	8	xDisplay
arg	69:50	69:79	7	RootWindow(xDisplay,xScreen)
call	69:50	69:78	8	RootWindow
arg	69:61	69:69	9	xDisplay
water	69:61	0:0	10	xDisplay
arg	69:71	69:78	9	xScreen
water	69:71	0:0	10	xScreen
arg	70:16	70:23	7	xVisual
water	70:16	0:0	8	xVisual
arg	70:25	70:33	7	AllocAll
water	70:25	0:0	8	AllocAll
water	70:34	0:0	6	;
else	71:8	81:8	4
stmts	71:13	81:8	5	
water	71:13	0:0	6	{
water	72:12	0:0	6	xColormap
op	72:22	0:0	6	=
