func	2:0	14:0	0	static void	drawPixelRGB24
params	2:26	0:0	1	
param	2:28	2:47	2	filter_sys_t *	p_sys
param	2:49	2:68	2	picture_t *	p_outpic
param	3:28	3:37	2	uint8_t	R
param	3:39	3:48	2	uint8_t	G
param	3:50	3:59	2	uint8_t	B
param	4:28	4:33	2	int	x
param	4:35	4:40	2	int	y
param	4:42	4:54	2	bool	b_skip
stmnts	6:4	13:18	1	
call	6:4	6:22	2	VLC_UNUSED
arg	6:16	6:22	3	p_sys
water	6:16	0:0	4	p_sys
water	6:23	0:0	2	;
call	7:4	7:23	2	VLC_UNUSED
arg	7:16	7:23	3	b_skip
water	7:16	0:0	4	b_skip
water	7:24	0:0	2	;
decl	8:4	10:34	2	uint8_t	*p_pixel
op	8:21	0:0	2	=
water	8:23	0:0	2	p_outpic
op	8:31	0:0	2	->
water	8:33	0:0	2	p
op	8:34	0:0	2	[
water	8:35	0:0	2	0
op	8:36	0:0	2	]
op	8:37	0:0	2	.
water	8:38	0:0	2	p_pixels
op	9:23	0:0	2	+
water	9:25	0:0	2	p_outpic
op	9:33	0:0	2	->
water	9:35	0:0	2	p
op	9:36	0:0	2	[
water	9:37	0:0	2	0
op	9:38	0:0	2	]
op	9:39	0:0	2	.
water	9:40	0:0	2	i_pitch
op	10:23	0:0	2	*
water	10:25	0:0	2	x
op	10:27	0:0	2	+
water	10:29	0:0	2	3
op	10:31	0:0	2	*
water	10:33	0:0	2	y
op	11:4	0:0	2	*
water	11:5	0:0	2	p_pixel
op	11:13	0:0	2	=
water	11:15	0:0	2	B
water	11:16	0:0	2	;
op	12:4	0:0	2	*
op	12:5	0:0	2	++
water	12:7	0:0	2	p_pixel
op	12:15	0:0	2	=
water	12:17	0:0	2	G
water	12:18	0:0	2	;
op	13:4	0:0	2	*
op	13:5	0:0	2	++
water	13:7	0:0	2	p_pixel
op	13:15	0:0	2	=
water	13:17	0:0	2	R
water	13:18	0:0	2	;
