func	2:0	8:0	0	static vlc_v4l2_ctrl_t *	ControlAddClass
params	2:40	0:0	1	
param	2:41	2:58	2	vlc_object_t *	obj
param	2:60	2:66	2	int	fd
param	3:41	3:75	2	const struct v4l2_queryctrl *	query
stmnts	5:4	7:15	1	
call	5:4	5:50	2	msg_Dbg
arg	5:13	5:16	3	obj
water	5:13	0:0	4	obj
arg	5:18	5:37	3	"control class %s:"
water	5:18	0:0	4	"control class %s:"
arg	5:39	5:50	3	query->name
water	5:39	0:0	4	query
op	5:44	0:0	4	->
water	5:46	0:0	4	name
water	5:51	0:0	2	;
water	6:4	0:0	2	(
water	6:5	0:0	2	void
water	6:9	0:0	2	)
water	6:11	0:0	2	fd
water	6:13	0:0	2	;
return	7:4	7:15	2	NULL
water	7:11	0:0	3	NULL
