func	2:0	8:0	0	static int	ControlsResetCallback
params	2:33	0:0	1	
param	2:34	2:51	2	vlc_object_t *	obj
param	2:53	2:68	2	const char *	var
param	3:34	3:49	2	vlc_value_t	old
param	3:51	3:66	2	vlc_value_t	cur
param	3:68	3:78	2	void *	data
stmnts	5:4	7:22	1	
call	5:4	5:28	2	ControlsReset
arg	5:19	5:22	3	obj
water	5:19	0:0	4	obj
arg	5:24	5:28	3	data
water	5:24	0:0	4	data
water	5:29	0:0	2	;
water	6:4	0:0	2	(
water	6:5	0:0	2	void
water	6:9	0:0	2	)
water	6:11	0:0	2	var
water	6:14	0:0	2	;
water	6:16	0:0	2	(
water	6:17	0:0	2	void
water	6:21	0:0	2	)
water	6:23	0:0	2	old
water	6:26	0:0	2	;
water	6:28	0:0	2	(
water	6:29	0:0	2	void
water	6:33	0:0	2	)
water	6:35	0:0	2	cur
water	6:38	0:0	2	;
return	7:4	7:22	2	VLC_SUCCESS
water	7:11	0:0	3	VLC_SUCCESS
