func	2:0	5:0	0	static int	Control
params	2:18	0:0	1	
param	2:20	2:36	2	demux_t *	p_demux
param	2:38	2:49	2	int	i_query
param	2:51	2:64	2	va_list	args
stmnts	4:4	4:74	1	
return	4:4	4:74	2	demux_vaControlHelper(p_demux->s,0,-1,0,1,i_query,args)
call	4:11	4:73	3	demux_vaControlHelper
arg	4:34	4:44	4	p_demux->s
water	4:34	0:0	5	p_demux
op	4:41	0:0	5	->
water	4:43	0:0	5	s
arg	4:46	4:47	4	0
water	4:46	0:0	5	0
arg	4:49	4:51	4	-1
op	4:49	0:0	5	-
water	4:50	0:0	5	1
arg	4:53	4:54	4	0
water	4:53	0:0	5	0
arg	4:56	4:57	4	1
water	4:56	0:0	5	1
arg	4:59	4:66	4	i_query
water	4:59	0:0	5	i_query
arg	4:68	4:73	4	args
water	4:68	0:0	5	args
