func	2:0	11:0	0	vout_display_t *	vout_NewDisplay
params	2:31	0:0	1	
param	2:32	2:51	2	vout_thread_t *	vout
param	3:32	3:60	2	const video_format_t *	source
param	4:32	4:65	2	const vout_display_state_t *	state
param	5:32	5:50	2	const char *	module
param	6:32	6:60	2	mtime_t	double_click_timeout
param	7:32	7:52	2	mtime_t	hide_timeout
stmnts	9:4	10:63	1	
return	9:4	10:63	2	DisplayNew(vout,source,state,module,false,NULL,double_click_timeout,hide_timeout,NULL)
call	9:11	10:62	3	DisplayNew
arg	9:22	9:26	4	vout
water	9:22	0:0	5	vout
arg	9:28	9:34	4	source
water	9:28	0:0	5	source
arg	9:36	9:41	4	state
water	9:36	0:0	5	state
arg	9:43	9:49	4	module
water	9:43	0:0	5	module
arg	9:51	9:56	4	false
water	9:51	0:0	5	false
arg	9:58	9:62	4	NULL
water	9:58	0:0	5	NULL
arg	10:22	10:42	4	double_click_timeout
water	10:22	0:0	5	double_click_timeout
arg	10:44	10:56	4	hide_timeout
water	10:44	0:0	5	hide_timeout
arg	10:58	10:62	4	NULL
water	10:58	0:0	5	NULL
