func	2:0	8:0	0	static void	RGBFromRGB
params	2:22	0:0	1	
param	2:24	2:39	2	uint32_t	i_argb
param	3:24	3:37	2	uint8_t *	pi_r
param	3:39	3:52	2	uint8_t *	pi_g
param	3:54	3:68	2	uint8_t *	pi_b
stmnts	5:4	7:35	1	
op	5:4	0:0	2	*
water	5:5	0:0	2	pi_r
op	5:10	0:0	2	=
water	5:12	0:0	2	(
water	5:14	0:0	2	i_argb
op	5:21	0:0	2	&
water	5:23	0:0	2	0
water	5:24	0:0	2	x00ff0000
water	5:34	0:0	2	)
op	5:36	0:0	2	>>
water	5:39	0:0	2	16
water	5:41	0:0	2	;
op	6:4	0:0	2	*
water	6:5	0:0	2	pi_g
op	6:10	0:0	2	=
water	6:12	0:0	2	(
water	6:14	0:0	2	i_argb
op	6:21	0:0	2	&
water	6:23	0:0	2	0
water	6:24	0:0	2	x0000ff00
water	6:34	0:0	2	)
op	6:36	0:0	2	>>
water	6:40	0:0	2	8
water	6:41	0:0	2	;
op	7:4	0:0	2	*
water	7:5	0:0	2	pi_b
op	7:10	0:0	2	=
water	7:12	0:0	2	(
water	7:14	0:0	2	i_argb
op	7:21	0:0	2	&
water	7:23	0:0	2	0
water	7:24	0:0	2	x000000ff
water	7:34	0:0	2	)
water	7:35	0:0	2	;
