func	2:0	7:0	0	static int	RenderText
params	2:21	0:0	1	
param	2:23	2:41	2	filter_t *	p_filter
param	2:43	2:76	2	subpicture_region_t *	p_region_out
param	3:23	3:55	2	subpicture_region_t *	p_region_in
param	4:23	4:57	2	const vlc_fourcc_t *	p_chroma_list
stmnts	6:4	6:84	1	
return	6:4	6:84	2	RenderCommon(p_filter,p_region_out,p_region_in,false,p_chroma_list)
call	6:11	6:83	3	RenderCommon
arg	6:25	6:33	4	p_filter
water	6:25	0:0	5	p_filter
arg	6:35	6:47	4	p_region_out
water	6:35	0:0	5	p_region_out
arg	6:49	6:60	4	p_region_in
water	6:49	0:0	5	p_region_in
arg	6:62	6:67	4	false
water	6:62	0:0	5	false
arg	6:69	6:83	4	p_chroma_list
water	6:69	0:0	5	p_chroma_list
