func	2:0	57:0	0	int	main
params	2:8	0:0	1	
param	2:10	2:18	2	int	argc
param	2:20	2:33	2	char *	argv[]
stmnts	0:0	56:12	1	
decl	3:4	11:26	2	GtkWidget	*window
water	3:21	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*vbox
water	4:19	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*menubar
water	5:22	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*filemenu
water	6:23	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*fileitem
water	7:23	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*filemenu_openitem
water	8:32	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*player_widget
water	9:28	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*hbuttonbox
water	10:25	0:0	2	,
decl	3:4	11:26	2	GtkWidget	*stop_button
call	12:4	12:26	2	gtk_init
arg	12:14	12:19	3	&argc
op	12:14	0:0	4	&
water	12:15	0:0	4	argc
arg	12:21	12:26	3	&argv
op	12:21	0:0	4	&
water	12:22	0:0	4	argv
water	12:27	0:0	2	;
water	14:4	0:0	2	window
op	14:11	0:0	2	=
call	14:13	14:47	2	gtk_window_new
arg	14:28	14:47	3	GTK_WINDOW_TOPLEVEL
water	14:28	0:0	4	GTK_WINDOW_TOPLEVEL
water	14:48	0:0	2	;
call	15:4	15:60	2	gtk_window_set_default_size
arg	15:32	15:50	3	GTK_WINDOW(window)
call	15:32	15:49	4	GTK_WINDOW
arg	15:43	15:49	5	window
water	15:43	0:0	6	window
arg	15:52	15:55	3	400
water	15:52	0:0	4	400
arg	15:57	15:60	3	300
water	15:57	0:0	4	300
water	15:61	0:0	2	;
call	16:4	16:65	2	g_signal_connect
arg	16:21	16:27	3	window
water	16:21	0:0	4	window
arg	16:29	16:38	3	"destroy"
water	16:29	0:0	4	"destroy"
arg	16:40	16:59	3	G_CALLBACK(destroy)
call	16:40	16:58	4	G_CALLBACK
arg	16:51	16:58	5	destroy
water	16:51	0:0	6	destroy
arg	16:61	16:65	3	NULL
water	16:61	0:0	4	NULL
water	16:66	0:0	2	;
call	17:4	17:61	2	gtk_container_set_border_width
arg	17:36	17:58	3	GTK_CONTAINER(window)
call	17:36	17:57	4	GTK_CONTAINER
arg	17:51	17:57	5	window
water	17:51	0:0	6	window
arg	17:60	17:61	3	0
water	17:60	0:0	4	0
water	17:62	0:0	2	;
call	18:4	18:63	2	gtk_window_set_title
arg	18:25	18:43	3	GTK_WINDOW(window)
call	18:25	18:42	4	GTK_WINDOW
arg	18:36	18:42	5	window
water	18:36	0:0	6	window
arg	18:45	18:63	3	"GTK+ libVLC Demo"
water	18:45	0:0	4	"GTK+ libVLC Demo"
water	18:64	0:0	2	;
water	20:4	0:0	2	vbox
op	20:9	0:0	2	=
call	20:11	20:32	2	gtk_vbox_new
arg	20:24	20:29	3	FALSE
water	20:24	0:0	4	FALSE
arg	20:31	20:32	3	0
water	20:31	0:0	4	0
water	20:33	0:0	2	;
call	21:4	21:49	2	gtk_container_add
arg	21:22	21:43	3	GTK_CONTAINER(window)
call	21:22	21:42	4	GTK_CONTAINER
arg	21:36	21:42	5	window
water	21:36	0:0	6	window
arg	21:45	21:49	3	vbox
water	21:45	0:0	4	vbox
water	21:50	0:0	2	;
water	23:4	0:0	2	menubar
op	23:12	0:0	2	=
call	23:14	23:31	2	gtk_menu_bar_new
water	23:32	0:0	2	;
water	24:4	0:0	2	filemenu
op	24:13	0:0	2	=
call	24:15	24:28	2	gtk_menu_new
water	24:29	0:0	2	;
water	25:4	0:0	2	fileitem
op	25:13	0:0	2	=
call	25:15	25:51	2	gtk_menu_item_new_with_label
arg	25:45	25:51	3	"File"
water	25:45	0:0	4	"File"
water	25:52	0:0	2	;
water	26:4	0:0	2	filemenu_openitem
op	26:22	0:0	2	=
call	26:24	26:59	2	gtk_menu_item_new_with_label
arg	26:53	26:59	3	"Open"
water	26:53	0:0	4	"Open"
water	26:60	0:0	2	;
call	27:4	27:69	2	gtk_menu_shell_append
arg	27:26	27:50	3	GTK_MENU_SHELL(filemenu)
call	27:26	27:49	4	GTK_MENU_SHELL
arg	27:41	27:49	5	filemenu
water	27:41	0:0	6	filemenu
arg	27:52	27:69	3	filemenu_openitem
water	27:52	0:0	4	filemenu_openitem
water	27:70	0:0	2	;
call	28:4	28:63	2	gtk_menu_item_set_submenu
arg	28:30	28:53	3	GTK_MENU_ITEM(fileitem)
call	28:30	28:52	4	GTK_MENU_ITEM
arg	28:44	28:52	5	fileitem
water	28:44	0:0	6	fileitem
arg	28:55	28:63	3	filemenu
water	28:55	0:0	4	filemenu
water	28:64	0:0	2	;
call	29:4	29:55	2	gtk_menu_bar_append
arg	29:24	29:45	3	GTK_MENU_BAR(menubar)
call	29:24	29:44	4	GTK_MENU_BAR
arg	29:37	29:44	5	menubar
water	29:37	0:0	6	menubar
arg	29:47	29:55	3	fileitem
water	29:47	0:0	4	fileitem
water	29:56	0:0	2	;
call	30:4	30:62	2	gtk_box_pack_start
arg	30:23	30:36	3	GTK_BOX(vbox)
call	30:23	30:35	4	GTK_BOX
arg	30:31	30:35	5	vbox
water	30:31	0:0	6	vbox
arg	30:38	30:45	3	menubar
water	30:38	0:0	4	menubar
arg	30:47	30:52	3	FALSE
water	30:47	0:0	4	FALSE
arg	30:54	30:59	3	FALSE
water	30:54	0:0	4	FALSE
arg	30:61	30:62	3	0
water	30:61	0:0	4	0
water	30:63	0:0	2	;
call	31:4	31:79	2	g_signal_connect
arg	31:21	31:38	3	filemenu_openitem
water	31:21	0:0	4	filemenu_openitem
arg	31:40	31:50	3	"activate"
water	31:40	0:0	4	"activate"
arg	31:52	31:71	3	G_CALLBACK(on_open)
call	31:52	31:70	4	G_CALLBACK
arg	31:63	31:70	5	on_open
water	31:63	0:0	6	on_open
arg	31:73	31:79	3	window
water	31:73	0:0	4	window
water	31:80	0:0	2	;
water	33:4	0:0	2	player_widget
op	33:18	0:0	2	=
call	33:20	33:41	2	gtk_drawing_area_new
water	33:42	0:0	2	;
call	34:4	34:66	2	gtk_box_pack_start
arg	34:23	34:36	3	GTK_BOX(vbox)
call	34:23	34:35	4	GTK_BOX
arg	34:31	34:35	5	vbox
water	34:31	0:0	6	vbox
arg	34:38	34:51	3	player_widget
water	34:38	0:0	4	player_widget
arg	34:53	34:57	3	TRUE
water	34:53	0:0	4	TRUE
arg	34:59	34:63	3	TRUE
water	34:59	0:0	4	TRUE
arg	34:65	34:66	3	0
water	34:65	0:0	4	0
water	34:67	0:0	2	;
water	37:4	0:0	2	playpause_button
op	37:21	0:0	2	=
call	37:23	37:65	2	gtk_button_new_with_label
arg	37:49	37:65	3	"gtk-media-play"
water	37:49	0:0	4	"gtk-media-play"
water	37:66	0:0	2	;
call	38:4	38:63	2	gtk_button_set_use_stock
arg	38:29	38:57	3	GTK_BUTTON(playpause_button)
call	38:29	38:56	4	GTK_BUTTON
arg	38:40	38:56	5	playpause_button
water	38:40	0:0	6	playpause_button
arg	38:59	38:63	3	TRUE
water	38:59	0:0	4	TRUE
water	38:64	0:0	2	;
water	39:4	0:0	2	stop_button
op	39:16	0:0	2	=
call	39:18	39:64	2	gtk_button_new_from_stock
arg	39:44	39:64	3	GTK_STOCK_MEDIA_STOP
water	39:44	0:0	4	GTK_STOCK_MEDIA_STOP
water	39:65	0:0	2	;
call	40:4	40:80	2	g_signal_connect
arg	40:21	40:37	3	playpause_button
water	40:21	0:0	4	playpause_button
arg	40:39	40:48	3	"clicked"
water	40:39	0:0	4	"clicked"
arg	40:50	40:74	3	G_CALLBACK(on_playpause)
call	40:50	40:73	4	G_CALLBACK
arg	40:61	40:73	5	on_playpause
water	40:61	0:0	6	on_playpause
arg	40:76	40:80	3	NULL
water	40:76	0:0	4	NULL
water	40:81	0:0	2	;
call	41:4	41:70	2	g_signal_connect
arg	41:21	41:32	3	stop_button
water	41:21	0:0	4	stop_button
arg	41:34	41:43	3	"clicked"
water	41:34	0:0	4	"clicked"
arg	41:45	41:64	3	G_CALLBACK(on_stop)
call	41:45	41:63	4	G_CALLBACK
arg	41:56	41:63	5	on_stop
water	41:56	0:0	6	on_stop
arg	41:66	41:70	3	NULL
water	41:66	0:0	4	NULL
water	41:71	0:0	2	;
water	42:4	0:0	2	hbuttonbox
op	42:15	0:0	2	=
call	42:17	42:37	2	gtk_hbutton_box_new
water	42:38	0:0	2	;
call	43:4	43:74	2	gtk_container_set_border_width
arg	43:35	43:60	3	GTK_CONTAINER(hbuttonbox)
call	43:35	43:59	4	GTK_CONTAINER
arg	43:49	43:59	5	hbuttonbox
water	43:49	0:0	6	hbuttonbox
arg	43:62	43:74	3	BORDER_WIDTH
water	43:62	0:0	4	BORDER_WIDTH
water	43:75	0:0	2	;
call	44:4	44:77	2	gtk_button_box_set_layout
arg	44:30	44:56	3	GTK_BUTTON_BOX(hbuttonbox)
call	44:30	44:55	4	GTK_BUTTON_BOX
arg	44:45	44:55	5	hbuttonbox
water	44:45	0:0	6	hbuttonbox
arg	44:58	44:77	3	GTK_BUTTONBOX_START
water	44:58	0:0	4	GTK_BUTTONBOX_START
water	44:78	0:0	2	;
call	45:4	45:77	2	gtk_box_pack_start
arg	45:23	45:42	3	GTK_BOX(hbuttonbox)
call	45:23	45:41	4	GTK_BOX
arg	45:31	45:41	5	hbuttonbox
water	45:31	0:0	6	hbuttonbox
arg	45:44	45:60	3	playpause_button
water	45:44	0:0	4	playpause_button
arg	45:62	45:67	3	FALSE
water	45:62	0:0	4	FALSE
arg	45:69	45:74	3	FALSE
water	45:69	0:0	4	FALSE
arg	45:76	45:77	3	0
water	45:76	0:0	4	0
water	45:78	0:0	2	;
call	46:4	46:72	2	gtk_box_pack_start
arg	46:23	46:42	3	GTK_BOX(hbuttonbox)
call	46:23	46:41	4	GTK_BOX
arg	46:31	46:41	5	hbuttonbox
water	46:31	0:0	6	hbuttonbox
arg	46:44	46:55	3	stop_button
water	46:44	0:0	4	stop_button
arg	46:57	46:62	3	FALSE
water	46:57	0:0	4	FALSE
arg	46:64	46:69	3	FALSE
water	46:64	0:0	4	FALSE
arg	46:71	46:72	3	0
water	46:71	0:0	4	0
water	46:73	0:0	2	;
call	47:4	47:65	2	gtk_box_pack_start
arg	47:23	47:36	3	GTK_BOX(vbox)
call	47:23	47:35	4	GTK_BOX
arg	47:31	47:35	5	vbox
water	47:31	0:0	6	vbox
arg	47:38	47:48	3	hbuttonbox
water	47:38	0:0	4	hbuttonbox
arg	47:50	47:55	3	FALSE
water	47:50	0:0	4	FALSE
arg	47:57	47:62	3	FALSE
water	47:57	0:0	4	FALSE
arg	47:64	47:65	3	0
water	47:64	0:0	4	0
water	47:66	0:0	2	;
water	49:4	0:0	2	vlc_inst
op	49:13	0:0	2	=
call	49:15	49:33	2	libvlc_new
arg	49:26	49:27	3	0
water	49:26	0:0	4	0
arg	49:29	49:33	3	NULL
water	49:29	0:0	4	NULL
water	49:34	0:0	2	;
water	50:4	0:0	2	media_player
op	50:17	0:0	2	=
call	50:19	50:51	2	libvlc_media_player_new
arg	50:43	50:51	3	vlc_inst
water	50:43	0:0	4	vlc_inst
water	50:52	0:0	2	;
call	51:4	51:99	2	g_signal_connect
arg	51:21	51:44	3	G_OBJECT(player_widget)
call	51:21	51:43	4	G_OBJECT
arg	51:30	51:43	5	player_widget
water	51:30	0:0	6	player_widget
arg	51:46	51:55	3	"realize"
water	51:46	0:0	4	"realize"
arg	51:57	51:93	3	G_CALLBACK(player_widget_on_realize)
call	51:57	51:92	4	G_CALLBACK
arg	51:68	51:92	5	player_widget_on_realize
water	51:68	0:0	6	player_widget_on_realize
arg	51:95	51:99	3	NULL
water	51:95	0:0	4	NULL
water	51:100	0:0	2	;
call	52:4	52:30	2	gtk_widget_show_all
arg	52:24	52:30	3	window
water	52:24	0:0	4	window
water	52:31	0:0	2	;
call	53:4	53:14	2	gtk_main
water	53:15	0:0	2	;
call	54:4	54:44	2	libvlc_media_player_release
arg	54:32	54:44	3	media_player
