func	2:0	8:0	0	static int	parse_Discontinuity
params	2:30	0:0	1	
param	2:31	2:42	2	stream_t *	s
param	2:44	2:61	2	hls_stream_t *	hls
param	2:63	2:75	2	char *	p_read
stmnts	4:4	7:22	1	
call	4:4	4:14	2	assert
arg	4:11	4:14	3	hls
water	4:11	0:0	4	hls
water	4:15	0:0	2	;
call	6:4	6:48	2	msg_Dbg
arg	6:12	6:13	3	s
water	6:12	0:0	4	s
arg	6:15	6:40	3	"#EXT-X-DISCONTINUITY %s"
water	6:15	0:0	4	"#EXT-X-DISCONTINUITY %s"
arg	6:42	6:48	3	p_read
water	6:42	0:0	4	p_read
water	6:49	0:0	2	;
return	7:4	7:22	2	VLC_SUCCESS
water	7:11	0:0	3	VLC_SUCCESS
