func	2:0	9:0	0	static int	Setup
params	2:16	0:0	1	
param	2:17	2:29	2	vlc_va_t *	va
param	2:31	2:42	2	void * *	ctxp
param	2:44	2:65	2	vlc_fourcc_t *	chromap
param	3:17	3:26	2	int	width
param	3:28	3:38	2	int	height
stmnts	5:4	8:22	1	
water	5:4	0:0	2	(
water	5:5	0:0	2	void
water	5:9	0:0	2	)
water	5:11	0:0	2	width
water	5:16	0:0	2	;
water	5:18	0:0	2	(
water	5:19	0:0	2	void
water	5:23	0:0	2	)
water	5:25	0:0	2	height
water	5:31	0:0	2	;
op	6:4	0:0	2	*
water	6:5	0:0	2	ctxp
op	6:10	0:0	2	=
water	6:12	0:0	2	(
water	6:13	0:0	2	AVVDPAUContext
op	6:28	0:0	2	*
water	6:29	0:0	2	)
water	6:30	0:0	2	va
op	6:32	0:0	2	->
water	6:34	0:0	2	sys
water	6:37	0:0	2	;
op	7:4	0:0	2	*
water	7:5	0:0	2	chromap
op	7:13	0:0	2	=
water	7:15	0:0	2	VLC_CODEC_YV12
water	7:29	0:0	2	;
return	8:4	8:22	2	VLC_SUCCESS
water	8:11	0:0	3	VLC_SUCCESS
