struct	4:17	4:60	0	<anonymous_4:17>
decl	4:26	4:36	1	int	i_meta
decl	4:38	4:58	1	const char	*psz_name
decl	4:17	13:5	0	<anonymous_4:17>	p_list[]
op	4:71	0:0	0	=
water	4:73	0:0	0	{
water	5:8	0:0	0	{
water	5:10	0:0	0	vlc_meta_Title
water	5:24	0:0	0	,
water	5:32	0:0	0	"meta-title"
water	5:45	0:0	0	}
water	5:46	0:0	0	,
water	6:8	0:0	0	{
water	6:10	0:0	0	vlc_meta_Artist
water	6:25	0:0	0	,
water	6:32	0:0	0	"meta-artist"
water	6:46	0:0	0	}
water	6:47	0:0	0	,
water	7:8	0:0	0	{
water	7:10	0:0	0	vlc_meta_Genre
water	7:24	0:0	0	,
water	7:32	0:0	0	"meta-genre"
water	7:45	0:0	0	}
water	7:46	0:0	0	,
water	8:8	0:0	0	{
water	8:10	0:0	0	vlc_meta_Copyright
water	8:28	0:0	0	,
water	8:32	0:0	0	"meta-copyright"
water	8:49	0:0	0	}
water	8:50	0:0	0	,
water	9:8	0:0	0	{
water	9:10	0:0	0	vlc_meta_Description
water	9:30	0:0	0	,
water	9:32	0:0	0	"meta-description"
water	9:51	0:0	0	}
water	9:52	0:0	0	,
water	10:8	0:0	0	{
water	10:10	0:0	0	vlc_meta_Date
water	10:23	0:0	0	,
water	10:32	0:0	0	"meta-date"
water	10:44	0:0	0	}
water	10:45	0:0	0	,
water	11:8	0:0	0	{
water	11:10	0:0	0	vlc_meta_URL
water	11:22	0:0	0	,
water	11:32	0:0	0	"meta-url"
water	11:43	0:0	0	}
water	11:44	0:0	0	,
water	12:8	0:0	0	{
water	12:10	0:0	0	0
water	12:11	0:0	0	,
water	12:13	0:0	0	NULL
water	12:18	0:0	0	}
water	13:4	0:0	0	}
