func	2:0	8:0	0	int	playlist_Add
params	2:16	0:0	1	
param	2:18	2:40	2	playlist_t *	p_playlist
param	2:42	2:61	2	const char *	psz_uri
param	3:18	3:38	2	const char *	psz_name
param	3:40	3:50	2	int	i_mode
param	3:52	3:61	2	int	i_pos
param	4:18	4:33	2	bool	b_playlist
param	4:35	4:49	2	bool	b_locked
stmnts	6:4	7:81	1	
return	6:4	7:81	2	playlist_AddExt(p_playlist,psz_uri,psz_name,i_mode,i_pos,-1,0,NULL,0,b_playlist,b_locked)
call	6:11	7:80	3	playlist_AddExt
arg	6:28	6:38	4	p_playlist
water	6:28	0:0	5	p_playlist
arg	6:40	6:47	4	psz_uri
water	6:40	0:0	5	psz_uri
arg	6:49	6:57	4	psz_name
water	6:49	0:0	5	psz_name
arg	7:28	7:34	4	i_mode
water	7:28	0:0	5	i_mode
arg	7:36	7:41	4	i_pos
water	7:36	0:0	5	i_pos
arg	7:43	7:45	4	-1
op	7:43	0:0	5	-
water	7:44	0:0	5	1
arg	7:47	7:48	4	0
water	7:47	0:0	5	0
arg	7:50	7:54	4	NULL
water	7:50	0:0	5	NULL
arg	7:56	7:57	4	0
water	7:56	0:0	5	0
arg	7:59	7:69	4	b_playlist
water	7:59	0:0	5	b_playlist
arg	7:71	7:80	4	b_locked
water	7:71	0:0	5	b_locked
