func	2:0	7:0	0	static double	GetTigerFloat
params	2:27	0:0	1	
param	2:29	2:45	2	decoder_t *	p_dec
param	2:47	2:68	2	const char *	psz_name
stmnts	0:0	6:18	1	
decl	4:4	4:58	2	double	f_value
op	4:19	0:0	2	=
call	4:21	4:57	3	var_CreateGetFloat
arg	4:41	4:46	4	p_dec
water	4:41	0:0	5	p_dec
arg	4:48	4:57	4	psz_name
water	4:48	0:0	5	psz_name
call	5:4	5:33	2	var_Destroy
arg	5:17	5:22	3	p_dec
water	5:17	0:0	4	p_dec
arg	5:24	5:33	3	psz_name
water	5:24	0:0	4	psz_name
water	5:34	0:0	2	;
return	6:4	6:18	2	f_value
water	6:11	0:0	3	f_value
