func	2:0	9:0	0	void	stop
params	2:9	0:0	1	
param	2:10	2:14	2	void
stmnts	3:4	8:64	1	
water	3:4	0:0	2	stopped
op	3:12	0:0	2	=
water	3:14	0:0	2	1
water	3:15	0:0	2	;
call	4:4	4:41	2	gtk_spinner_stop
arg	4:21	4:41	3	GTK_SPINNER(spinner)
call	4:21	4:40	4	GTK_SPINNER
arg	4:33	4:40	5	spinner
water	4:33	0:0	6	spinner
water	4:42	0:0	2	;
call	5:4	5:27	2	gtk_widget_hide
arg	5:20	5:27	3	spinner
water	5:20	0:0	4	spinner
water	5:28	0:0	2	;
call	6:4	6:45	2	gtk_widget_set_sensitive
arg	6:29	6:39	3	run_button
water	6:29	0:0	4	run_button
arg	6:41	6:45	3	TRUE
water	6:41	0:0	4	TRUE
water	6:46	0:0	2	;
call	7:4	7:68	2	gtk_progress_bar_set_fraction
arg	7:34	7:63	3	GTK_PROGRESS_BAR(progressbar)
call	7:34	7:62	4	GTK_PROGRESS_BAR
arg	7:51	7:62	5	progressbar
water	7:51	0:0	6	progressbar
arg	7:65	7:68	3	0.0
water	7:65	0:0	4	0
op	7:66	0:0	4	.
water	7:67	0:0	4	0
water	7:69	0:0	2	;
call	8:4	8:63	2	gtk_progress_bar_set_text
arg	8:30	8:59	3	GTK_PROGRESS_BAR(progressbar)
call	8:30	8:58	4	GTK_PROGRESS_BAR
arg	8:47	8:58	5	progressbar
water	8:47	0:0	6	progressbar
arg	8:61	8:63	3	""
water	8:61	0:0	4	""
water	8:64	0:0	2	;
