func	2:0	8:0	0	static void	CatalogAdd
params	2:22	0:0	1	
param	2:24	2:36	2	xml_t *	p_xml
param	2:38	2:58	2	const char *	psz_arg1
param	3:26	3:46	2	const char *	psz_arg2
param	3:48	3:73	2	const char *	psz_filename
stmnts	5:4	7:38	1	
call	5:4	5:20	2	VLC_UNUSED
arg	5:15	5:20	3	p_xml
water	5:15	0:0	4	p_xml
water	5:21	0:0	2	;
call	6:4	7:37	2	xmlCatalogAdd
arg	6:19	6:43	3	(unsignedchar*)psz_arg1
water	6:19	0:0	4	(
water	6:20	0:0	4	unsigned
water	6:29	0:0	4	char
op	6:33	0:0	4	*
water	6:34	0:0	4	)
water	6:35	0:0	4	psz_arg1
arg	6:45	6:69	3	(unsignedchar*)psz_arg2
water	6:45	0:0	4	(
water	6:46	0:0	4	unsigned
water	6:55	0:0	4	char
op	6:59	0:0	4	*
water	6:60	0:0	4	)
water	6:61	0:0	4	psz_arg2
arg	7:8	7:37	3	(unsignedchar*)psz_filename
water	7:8	0:0	4	(
water	7:9	0:0	4	unsigned
water	7:18	0:0	4	char
op	7:22	0:0	4	*
water	7:23	0:0	4	)
water	7:24	0:0	4	psz_filename
water	7:38	0:0	2	;
