func	2:0	9:0	0	httpd_stream_t *	httpd_StreamNew
params	2:32	0:0	1	
param	2:33	2:51	2	httpd_host_t *	host
param	3:33	3:48	2	const char *	url
param	3:50	3:74	2	const char *	content_type
param	4:33	4:50	2	const char *	login
param	4:52	4:72	2	const char *	password
stmnts	6:4	8:14	1	
water	6:4	0:0	2	(
water	6:5	0:0	2	void
water	6:9	0:0	2	)
water	6:11	0:0	2	host
water	6:15	0:0	2	;
water	6:17	0:0	2	(
water	6:18	0:0	2	void
water	6:22	0:0	2	)
water	6:24	0:0	2	url
water	6:27	0:0	2	;
water	6:29	0:0	2	(
water	6:30	0:0	2	void
water	6:34	0:0	2	)
water	6:36	0:0	2	content_type
water	6:48	0:0	2	;
water	7:4	0:0	2	(
water	7:5	0:0	2	void
water	7:9	0:0	2	)
water	7:11	0:0	2	login
water	7:16	0:0	2	;
water	7:18	0:0	2	(
water	7:19	0:0	2	void
water	7:23	0:0	2	)
water	7:25	0:0	2	password
water	7:33	0:0	2	;
call	8:4	8:13	2	assert
arg	8:12	8:13	3	0
water	8:12	0:0	4	0
water	8:14	0:0	2	;
