func	2:0	8:0	0	int	httpd_StreamSetHTTPHeaders
params	2:31	0:0	1	
param	2:32	2:55	2	httpd_stream_t *	stream
param	3:32	3:54	2	httpd_header *	headers
param	4:32	4:48	2	size_t	i_headers
stmnts	6:4	7:14	1	
water	6:4	0:0	2	(
water	6:5	0:0	2	void
water	6:9	0:0	2	)
water	6:11	0:0	2	stream
water	6:17	0:0	2	;
water	6:19	0:0	2	(
water	6:20	0:0	2	void
water	6:24	0:0	2	)
water	6:26	0:0	2	headers
water	6:33	0:0	2	;
water	6:35	0:0	2	(
water	6:36	0:0	2	void
water	6:40	0:0	2	)
water	6:42	0:0	2	i_headers
water	6:51	0:0	2	;
call	7:4	7:13	2	assert
arg	7:12	7:13	3	0
water	7:12	0:0	4	0
water	7:14	0:0	2	;
