func	2:0	7:0	0	httpd_url_t *	httpd_UrlNew
params	2:26	0:0	1	
param	2:27	2:45	2	httpd_host_t *	host
param	2:47	2:62	2	const char *	url
param	3:27	3:44	2	const char *	login
param	3:46	3:66	2	const char *	password
stmnts	5:4	6:14	1	
water	5:4	0:0	2	(
water	5:5	0:0	2	void
water	5:9	0:0	2	)
water	5:11	0:0	2	host
water	5:15	0:0	2	;
water	5:17	0:0	2	(
water	5:18	0:0	2	void
water	5:22	0:0	2	)
water	5:24	0:0	2	url
water	5:27	0:0	2	;
water	5:29	0:0	2	(
water	5:30	0:0	2	void
water	5:34	0:0	2	)
water	5:36	0:0	2	login
water	5:41	0:0	2	;
water	5:43	0:0	2	(
water	5:44	0:0	2	void
water	5:48	0:0	2	)
water	5:50	0:0	2	password
water	5:58	0:0	2	;
call	6:4	6:13	2	assert
arg	6:12	6:13	3	0
water	6:12	0:0	4	0
water	6:14	0:0	2	;
