func	2:0	9:0	0	session_descriptor_t *	sout_AnnounceRegisterSDP
params	2:47	0:0	1	
param	2:48	2:65	2	vlc_object_t *	obj
param	3:48	3:63	2	const char *	sdp
param	4:48	4:63	2	const char *	dst
stmnts	6:4	8:15	1	
call	6:4	6:19	2	VLC_UNUSED
arg	6:16	6:19	3	sdp
water	6:16	0:0	4	sdp
water	6:20	0:0	2	;
call	6:22	6:37	2	VLC_UNUSED
arg	6:34	6:37	3	dst
water	6:34	0:0	4	dst
water	6:38	0:0	2	;
call	7:4	7:47	2	msg_Err
arg	7:13	7:16	3	obj
water	7:13	0:0	4	obj
arg	7:18	7:47	3	"SDP export not compiled-in!"
water	7:18	0:0	4	"SDP export not compiled-in!"
water	7:48	0:0	2	;
return	8:4	8:15	2	NULL
water	8:11	0:0	3	NULL
