func	2:0	9:0	0	char *	vlc_sdp_Start
params	2:20	0:0	1	
param	2:21	2:38	2	vlc_object_t *	obj
param	2:40	2:55	2	const char *	cfg
param	3:21	3:47	2	const struct sockaddr *	src
param	3:49	3:62	2	size_t	srclen
param	4:21	4:48	2	const struct sockaddr *	addr
param	4:50	4:64	2	size_t	addrlen
stmnts	6:4	8:15	1	
call	6:4	6:19	2	VLC_UNUSED
arg	6:16	6:19	3	obj
water	6:16	0:0	4	obj
water	6:20	0:0	2	;
call	6:22	6:37	2	VLC_UNUSED
arg	6:34	6:37	3	cfg
water	6:34	0:0	4	cfg
water	6:38	0:0	2	;
call	6:40	6:55	2	VLC_UNUSED
arg	6:52	6:55	3	src
water	6:52	0:0	4	src
water	6:56	0:0	2	;
call	6:58	6:76	2	VLC_UNUSED
arg	6:70	6:76	3	srclen
water	6:70	0:0	4	srclen
water	6:77	0:0	2	;
call	7:4	7:20	2	VLC_UNUSED
arg	7:16	7:20	3	addr
water	7:16	0:0	4	addr
water	7:21	0:0	2	;
call	7:23	7:42	2	VLC_UNUSED
arg	7:35	7:42	3	addrlen
water	7:35	0:0	4	addrlen
water	7:43	0:0	2	;
return	8:4	8:15	2	NULL
water	8:11	0:0	3	NULL
