func	2:0	10:0	0	uint16_t	rtp_get_seq
params	2:20	0:0	1	
param	2:22	2:47	2	sout_stream_id_sys_t *	id
stmnts	0:0	9:14	1	
decl	5:4	5:16	2	uint16_t	seq
call	6:4	6:35	2	vlc_mutex_lock
arg	6:20	6:35	3	&id->lock_sink
op	6:20	0:0	4	&
water	6:21	0:0	4	id
op	6:23	0:0	4	->
water	6:25	0:0	4	lock_sink
water	6:36	0:0	2	;
water	7:4	0:0	2	seq
op	7:8	0:0	2	=
water	7:10	0:0	2	id
op	7:12	0:0	2	->
water	7:14	0:0	2	i_seq_sent_next
water	7:29	0:0	2	;
call	8:4	8:37	2	vlc_mutex_unlock
arg	8:22	8:37	3	&id->lock_sink
op	8:22	0:0	4	&
water	8:23	0:0	4	id
op	8:25	0:0	4	->
water	8:27	0:0	4	lock_sink
water	8:38	0:0	2	;
return	9:4	9:14	2	seq
water	9:11	0:0	3	seq
