func	1:0	9:0	0	static const uint8_t *	rtp_digest
params	2:11	0:0	1	
param	2:12	2:27	2	gcry_md_hd_t	md
param	2:29	2:48	2	const uint8_t *	data
param	2:50	2:60	2	size_t	len
param	3:12	3:24	2	uint32_t	roc
stmnts	5:4	8:31	1	
call	5:4	5:21	2	gcry_md_reset
arg	5:19	5:21	3	md
water	5:19	0:0	4	md
water	5:22	0:0	2	;
call	6:4	6:32	2	gcry_md_write
arg	6:19	6:21	3	md
water	6:19	0:0	4	md
arg	6:23	6:27	3	data
water	6:23	0:0	4	data
arg	6:29	6:32	3	len
water	6:29	0:0	4	len
water	6:33	0:0	2	;
call	7:4	7:52	2	gcry_md_write
arg	7:19	7:21	3	md
water	7:19	0:0	4	md
arg	7:23	7:49	3	&(uint32_t){htonl(roc)}
op	7:23	0:0	4	&
water	7:24	0:0	4	(
water	7:25	0:0	4	uint32_t
water	7:33	0:0	4	)
water	7:34	0:0	4	{
call	7:36	7:46	4	htonl
arg	7:43	7:46	5	roc
water	7:43	0:0	6	roc
water	7:48	0:0	4	}
arg	7:51	7:52	3	4
water	7:51	0:0	4	4
water	7:53	0:0	2	;
return	8:4	8:31	2	gcry_md_read(md,0)
call	8:11	8:30	3	gcry_md_read
arg	8:25	8:27	4	md
water	8:25	0:0	5	md
arg	8:29	8:30	4	0
water	8:29	0:0	5	0
