func	2:0	9:0	0	static int	RenderText
params	2:21	0:0	1	
param	2:23	2:41	2	filter_t *	p_filter
param	2:43	2:76	2	subpicture_region_t *	p_region_out
param	3:23	3:55	2	subpicture_region_t *	p_region_in
param	4:23	4:57	2	const vlc_fourcc_t *	p_chroma_list
stmnts	6:4	8:23	1	
call	6:4	6:23	2	VLC_UNUSED
arg	6:15	6:23	3	p_filter
water	6:15	0:0	4	p_filter
water	6:24	0:0	2	;
call	6:26	6:49	2	VLC_UNUSED
arg	6:37	6:49	3	p_region_out
water	6:37	0:0	4	p_region_out
water	6:50	0:0	2	;
call	6:52	6:74	2	VLC_UNUSED
arg	6:63	6:74	3	p_region_in
water	6:63	0:0	4	p_region_in
water	6:75	0:0	2	;
call	7:4	7:28	2	VLC_UNUSED
arg	7:15	7:28	3	p_chroma_list
water	7:15	0:0	4	p_chroma_list
water	7:29	0:0	2	;
return	8:4	8:23	2	VLC_EGENERIC
water	8:11	0:0	3	VLC_EGENERIC
