func	2:0	7:0	0	static void	R90
params	2:15	0:0	1	
param	2:16	2:23	2	int *	sx
param	2:25	2:32	2	int *	sy
param	2:34	2:39	2	int	w
param	2:41	2:46	2	int	h
param	2:48	2:54	2	int	dx
param	2:56	2:62	2	int	dy
stmnts	4:4	6:20	1	
call	4:4	4:18	2	VLC_UNUSED
arg	4:16	4:18	3	h
water	4:16	0:0	4	h
water	4:19	0:0	2	;
op	5:4	0:0	2	*
water	5:5	0:0	2	sx
op	5:8	0:0	2	=
water	5:10	0:0	2	dy
water	5:12	0:0	2	;
op	6:4	0:0	2	*
water	6:5	0:0	2	sy
op	6:8	0:0	2	=
water	6:10	0:0	2	w
op	6:12	0:0	2	-
water	6:14	0:0	2	1
op	6:16	0:0	2	-
water	6:18	0:0	2	dx
water	6:20	0:0	2	;
