func	2:0	6:0	0	void	vout_ControlChangeZoom
params	2:27	0:0	1	
param	2:28	2:47	2	vout_thread_t *	vout
param	2:49	2:56	2	int	num
param	2:58	2:65	2	int	den
stmnts	4:4	5:35	1	
call	4:4	5:34	2	vout_control_PushPair
arg	4:26	4:43	3	&vout->p->control
op	4:26	0:0	4	&
water	4:27	0:0	4	vout
op	4:31	0:0	4	->
water	4:33	0:0	4	p
op	4:34	0:0	4	->
water	4:36	0:0	4	control
arg	4:45	4:62	3	VOUT_CONTROL_ZOOM
water	4:45	0:0	4	VOUT_CONTROL_ZOOM
arg	5:26	5:29	3	num
water	5:26	0:0	4	num
arg	5:31	5:34	3	den
water	5:31	0:0	4	den
water	5:35	0:0	2	;
