func	2:0	6:0	0	VdpStatus	vdp_decoder_get_parameters
params	2:36	0:0	1	
param	2:37	2:53	2	const vdp_t *	vdp
param	2:55	2:73	2	VdpDecoder	decoder
param	3:4	3:30	2	VdpDecoderProfile *	profile
param	3:32	3:43	2	uint32_t *	w
param	3:45	3:56	2	uint32_t *	h
stmnts	5:4	5:65	1	
return	5:4	5:65	2	vdp->vt.decoder_get_parameters(decoder,profile,w,h)
call	5:11	5:64	3	vdp->vt.decoder_get_parameters
arg	5:42	5:49	4	decoder
water	5:42	0:0	5	decoder
arg	5:51	5:58	4	profile
water	5:51	0:0	5	profile
arg	5:60	5:61	4	w
water	5:60	0:0	5	w
arg	5:63	5:64	4	h
water	5:63	0:0	5	h
