func	2:0	7:0	0	VdpStatus	vdp_decoder_query_capabilities
params	2:40	0:0	1	
param	2:41	2:57	2	const vdp_t *	vdp
param	2:59	2:75	2	VdpDevice	device
param	3:4	3:29	2	VdpDecoderProfile	profile
param	3:31	3:42	2	VdpBool *	ok
param	3:44	3:55	2	uint32_t *	l
param	3:57	3:68	2	uint32_t *	m
param	4:4	4:15	2	uint32_t *	w
param	4:17	4:28	2	uint32_t *	h
stmnts	6:4	6:78	1	
return	6:4	6:78	2	vdp->vt.decoder_query_capabilities(device,profile,ok,l,m,w,h)
call	6:11	6:77	3	vdp->vt.decoder_query_capabilities
arg	6:46	6:52	4	device
water	6:46	0:0	5	device
arg	6:54	6:61	4	profile
water	6:54	0:0	5	profile
arg	6:63	6:65	4	ok
water	6:63	0:0	5	ok
arg	6:67	6:68	4	l
water	6:67	0:0	5	l
arg	6:70	6:71	4	m
water	6:70	0:0	5	m
arg	6:73	6:74	4	w
water	6:73	0:0	5	w
arg	6:76	6:77	4	h
water	6:76	0:0	5	h
