func	2:0	7:0	0	VdpStatus	vdp_decoder_render
params	2:28	0:0	1	
param	2:29	2:45	2	const vdp_t *	vdp
param	2:47	2:65	2	VdpDecoder	decoder
param	3:4	3:26	2	VdpVideoSurface	target
param	3:28	3:54	2	const VdpPictureInfo *	info
param	4:4	4:17	2	uint32_t	bufv
param	4:19	4:49	2	const VdpBitstreamBuffer *	bufc
stmnts	6:4	6:68	1	
return	6:4	6:68	2	vdp->vt.decoder_render(decoder,target,info,bufv,bufc)
call	6:11	6:67	3	vdp->vt.decoder_render
arg	6:34	6:41	4	decoder
water	6:34	0:0	5	decoder
arg	6:43	6:49	4	target
water	6:43	0:0	5	target
arg	6:51	6:55	4	info
water	6:51	0:0	5	info
arg	6:57	6:61	4	bufv
water	6:57	0:0	5	bufv
arg	6:63	6:67	4	bufc
water	6:63	0:0	5	bufc
