func	2:0	10:0	0	VdpStatus	vdp_output_surface_render_bitmap_surface
params	2:50	0:0	1	
param	2:51	2:67	2	const vdp_t *	vdp
param	3:4	3:32	2	VdpOutputSurface	dst_surface
param	3:34	3:57	2	const VdpRect *	dst_rect
param	4:4	4:32	2	VdpBitmapSurface	src_surface
param	4:34	4:57	2	const VdpRect *	src_rect
param	5:4	5:26	2	const VdpColor *	colors
param	6:4	6:49	2	const VdpOutputSurfaceRenderBlendState *	state
param	6:51	6:65	2	uint32_t	flags
stmnts	8:4	9:52	1	
return	8:4	9:52	2	vdp->vt.output_surface_render_bitmap_surface(dst_surface,dst_rect,src_surface,src_rect,colors,state,flags)
call	8:11	9:51	3	vdp->vt.output_surface_render_bitmap_surface
arg	8:56	8:67	4	dst_surface
water	8:56	0:0	5	dst_surface
arg	8:69	8:77	4	dst_rect
water	8:69	0:0	5	dst_rect
arg	9:8	9:19	4	src_surface
water	9:8	0:0	5	src_surface
arg	9:21	9:29	4	src_rect
water	9:21	0:0	5	src_rect
arg	9:31	9:37	4	colors
water	9:31	0:0	5	colors
arg	9:39	9:44	4	state
water	9:39	0:0	5	state
arg	9:46	9:51	4	flags
water	9:46	0:0	5	flags
