func	2:0	8:0	0	VdpStatus	vdp_presentation_queue_display
params	2:40	0:0	1	
param	2:41	2:57	2	const vdp_t *	vdp
param	3:4	3:30	2	VdpPresentationQueue	queue
param	3:32	3:56	2	VdpOutputSurface	surface
param	3:58	3:77	2	uint32_t	clip_width
param	4:4	4:24	2	uint32_t	clip_height
param	4:26	4:37	2	VdpTime	pts
stmnts	6:4	7:63	1	
return	6:4	7:63	2	vdp->vt.presentation_queue_display(queue,surface,clip_width,clip_height,pts)
call	6:11	7:62	3	vdp->vt.presentation_queue_display
arg	6:46	6:51	4	queue
water	6:46	0:0	5	queue
arg	6:53	6:60	4	surface
water	6:53	0:0	5	surface
arg	6:62	6:72	4	clip_width
water	6:62	0:0	5	clip_width
arg	7:46	7:57	4	clip_height
water	7:46	0:0	5	clip_height
arg	7:59	7:62	4	pts
water	7:59	0:0	5	pts
