func	2:0	7:0	0	VdpStatus	vdp_video_mixer_query_parameter_value_range
params	2:53	0:0	1	
param	2:54	2:70	2	const vdp_t *	vdp
param	3:4	3:20	2	VdpDevice	device
param	3:22	3:54	2	VdpVideoMixerParameter	parameter
param	3:56	3:65	2	void *	min
param	3:67	3:76	2	void *	max
stmnts	5:4	6:17	1	
return	5:4	6:17	2	vdp->vt.video_mixer_query_parameter_value_range(device,parameter,min,max)
call	5:11	6:16	3	vdp->vt.video_mixer_query_parameter_value_range
arg	5:59	5:65	4	device
water	5:59	0:0	5	device
arg	5:67	5:76	4	parameter
water	5:67	0:0	5	parameter
arg	6:8	6:11	4	min
water	6:8	0:0	5	min
arg	6:13	6:16	4	max
water	6:13	0:0	5	max
