func	2:0	7:0	0	VdpStatus	vdp_video_mixer_set_feature_enables
params	2:45	0:0	1	
param	2:46	2:62	2	const vdp_t *	vdp
param	3:4	3:23	2	VdpVideoMixer	mixer
param	3:25	3:39	2	uint32_t	count
param	3:41	3:72	2	const VdpVideoMixerFeature *	ids
param	4:4	4:25	2	const VdpBool *	values
stmnts	6:4	6:77	1	
return	6:4	6:77	2	vdp->vt.video_mixer_set_feature_enables(mixer,count,ids,values)
call	6:11	6:76	3	vdp->vt.video_mixer_set_feature_enables
arg	6:51	6:56	4	mixer
water	6:51	0:0	5	mixer
arg	6:58	6:63	4	count
water	6:58	0:0	5	count
arg	6:65	6:68	4	ids
water	6:65	0:0	5	ids
arg	6:70	6:76	4	values
water	6:70	0:0	5	values
