func	2:0	6:0	0	VdpStatus	vdp_video_surface_create
params	2:34	0:0	1	
param	2:35	2:51	2	const vdp_t *	vdp
param	2:53	2:69	2	VdpDevice	device
param	3:4	3:24	2	VdpChromaType	chroma
param	3:26	3:36	2	uint32_t	w
param	3:38	3:48	2	uint32_t	h
param	3:50	3:74	2	VdpVideoSurface *	surface
stmnts	5:4	5:70	1	
return	5:4	5:70	2	vdp->vt.video_surface_create(device,chroma,w,h,surface)
call	5:11	5:69	3	vdp->vt.video_surface_create
arg	5:40	5:46	4	device
water	5:40	0:0	5	device
arg	5:48	5:54	4	chroma
water	5:48	0:0	5	chroma
arg	5:56	5:57	4	w
water	5:56	0:0	5	w
arg	5:59	5:60	4	h
water	5:59	0:0	5	h
arg	5:62	5:69	4	surface
water	5:62	0:0	5	surface
