func	2:0	6:0	0	VdpStatus	vdp_video_surface_query_capabilities
params	2:46	0:0	1	
param	2:47	2:63	2	const vdp_t *	vdp
param	2:65	2:78	2	VdpDevice	dev
param	3:4	3:22	2	VdpChromaType	type
param	3:24	3:35	2	VdpBool *	ok
param	3:37	3:49	2	uint32_t *	mw
param	3:51	3:63	2	uint32_t *	mh
stmnts	5:4	5:74	1	
return	5:4	5:74	2	vdp->vt.video_surface_query_capabilities(dev,type,ok,mw,mh)
call	5:11	5:73	3	vdp->vt.video_surface_query_capabilities
arg	5:52	5:55	4	dev
water	5:52	0:0	5	dev
arg	5:57	5:61	4	type
water	5:57	0:0	5	type
arg	5:63	5:65	4	ok
water	5:63	0:0	5	ok
arg	5:67	5:69	4	mw
water	5:67	0:0	5	mw
arg	5:71	5:73	4	mh
water	5:71	0:0	5	mh
