func	2:0	8:0	0	VdpStatus	vdp_video_surface_query_get_put_bits_y_cb_cr_capabilities
params	2:67	0:0	1	
param	3:4	3:20	2	const vdp_t *	vdp
param	3:22	3:38	2	VdpDevice	device
param	3:40	3:58	2	VdpChromaType	type
param	3:60	3:78	2	VdpYCbCrFormat	fmt
param	4:4	4:15	2	VdpBool *	ok
stmnts	6:4	7:30	1	
return	6:4	7:30	2	vdp->vt.video_surface_query_get_put_bits_y_cb_cr_capabilities(device,type,fmt,ok)
call	6:11	7:29	3	vdp->vt.video_surface_query_get_put_bits_y_cb_cr_capabilities
arg	7:8	7:14	4	device
water	7:8	0:0	5	device
arg	7:16	7:20	4	type
water	7:16	0:0	5	type
arg	7:22	7:25	4	fmt
water	7:22	0:0	5	fmt
arg	7:27	7:29	4	ok
water	7:27	0:0	5	ok
