func	2:0	5:0	0	void	vlc_pa_error
params	2:18	0:0	1	
param	2:19	2:36	2	vlc_object_t *	obj
param	2:38	2:53	2	const char *	msg
param	2:55	2:70	2	pa_context *	ctx
stmnts	4:4	4:70	1	
call	4:4	4:69	2	msg_Err
arg	4:13	4:16	3	obj
water	4:13	0:0	4	obj
arg	4:18	4:26	3	"%s: %s"
water	4:18	0:0	4	"%s: %s"
arg	4:28	4:31	3	msg
water	4:28	0:0	4	msg
arg	4:33	4:69	3	pa_strerror(pa_context_errno(ctx))
call	4:33	4:68	4	pa_strerror
arg	4:46	4:68	5	pa_context_errno(ctx)
call	4:46	4:67	6	pa_context_errno
arg	4:64	4:67	7	ctx
water	4:64	0:0	8	ctx
water	4:70	0:0	2	;
