func	2:0	10:0	0	int	vlm_ExecuteCommand
params	2:22	0:0	1	
param	2:24	2:36	2	vlm_t *	p_vlm
param	2:38	2:61	2	const char *	psz_command
param	3:24	3:50	2	vlm_message_t * *	pp_message
stmnts	0:0	9:19	1	
decl	5:4	5:16	2	int	i_result
call	6:4	6:33	2	vlc_mutex_lock
arg	6:20	6:33	3	&p_vlm->lock
op	6:20	0:0	4	&
water	6:21	0:0	4	p_vlm
op	6:26	0:0	4	->
water	6:28	0:0	4	lock
water	6:34	0:0	2	;
water	7:4	0:0	2	i_result
op	7:13	0:0	2	=
call	7:15	7:62	2	ExecuteCommand
arg	7:31	7:36	3	p_vlm
water	7:31	0:0	4	p_vlm
arg	7:38	7:49	3	psz_command
water	7:38	0:0	4	psz_command
arg	7:51	7:62	3	pp_message
water	7:51	0:0	4	pp_message
water	7:63	0:0	2	;
call	8:4	8:35	2	vlc_mutex_unlock
arg	8:22	8:35	3	&p_vlm->lock
op	8:22	0:0	4	&
water	8:23	0:0	4	p_vlm
op	8:28	0:0	4	->
water	8:30	0:0	4	lock
water	8:36	0:0	2	;
return	9:4	9:19	2	i_result
water	9:11	0:0	3	i_result
