func	2:0	6:0	0	static spu_scale_t	spu_scale_createq
params	2:36	0:0	1	
param	2:37	2:47	2	int64_t	wn
param	2:49	2:59	2	int64_t	wd
param	2:61	2:71	2	int64_t	hn
param	2:73	2:83	2	int64_t	hd
stmnts	4:4	5:49	1	
return	4:4	5:49	2	spu_scale_create(wn*SCALE_UNIT/wd,hn*SCALE_UNIT/hd)
call	4:11	5:48	3	spu_scale_create
arg	4:28	4:48	4	wn*SCALE_UNIT/wd
water	4:28	0:0	5	wn
op	4:31	0:0	5	*
water	4:33	0:0	5	SCALE_UNIT
op	4:44	0:0	5	/
water	4:46	0:0	5	wd
arg	5:28	5:48	4	hn*SCALE_UNIT/hd
water	5:28	0:0	5	hn
op	5:31	0:0	5	*
water	5:33	0:0	5	SCALE_UNIT
op	5:44	0:0	5	/
water	5:46	0:0	5	hd
