func	2:12	6:0	0	CALLBACK	InitFreq
params	2:29	0:0	1	
param	2:30	2:45	2	INIT_ONCE *	once
param	2:47	2:58	2	void *	param
param	2:60	2:74	2	void * *	context
stmnts	4:4	5:43	1	
water	4:4	0:0	2	(
water	4:5	0:0	2	void
water	4:9	0:0	2	)
water	4:11	0:0	2	once
water	4:15	0:0	2	;
water	4:17	0:0	2	(
water	4:18	0:0	2	void
water	4:22	0:0	2	)
water	4:24	0:0	2	context
water	4:31	0:0	2	;
return	5:4	5:43	2	QueryPerformanceFrequency(param)
call	5:11	5:42	3	QueryPerformanceFrequency
arg	5:37	5:42	4	param
water	5:37	0:0	5	param
