func	2:13	9:0	0	ZCALLBACK	ZipIO_Read
params	2:33	0:0	1	
param	2:35	2:47	2	void *	opaque
param	2:49	2:61	2	void *	stream
param	3:35	3:44	2	void *	buf
param	3:46	3:57	2	uLong	size
stmnts	5:4	8:55	1	
water	5:4	0:0	2	(
water	5:5	0:0	2	void
water	5:9	0:0	2	)
water	5:10	0:0	2	opaque
water	5:16	0:0	2	;
return	8:4	8:55	2	stream_Read((stream_t*)stream,buf,size)
call	8:11	8:54	3	stream_Read
arg	8:24	8:42	4	(stream_t*)stream
water	8:24	0:0	5	(
water	8:25	0:0	5	stream_t
op	8:33	0:0	5	*
water	8:34	0:0	5	)
water	8:36	0:0	5	stream
arg	8:44	8:47	4	buf
water	8:44	0:0	5	buf
arg	8:49	8:54	4	size
water	8:49	0:0	5	size
